Name,Latitude,Longitude,Type,Status,Category,Size,Rooms,Bathrooms,Price,Info_url
PLAZA NOVEVA,,,Residencial,Pre-Venta,Apartamentos,66m2,1,1,"$286,653",https://www.acobir.com/proyectos/list/plaza-noveva/
MADERO,9.0150969,-79.4678848,Residencial,Pre-Venta,Apartamentos,179m2,4,2.5,"$569,000",https://www.acobir.com/proyectos/list/madero/
Amazonas · Bella Vista,,,Residencial,Pre-Venta,Apartamentos,43m2,1,1,"$119,000",https://www.acobir.com/proyectos/list/amazonas-bella-vista/
Allure at Punta Pacífica,8.9759526,-79.5064391,Residencial,Pre-Venta,Apartamentos,100m2,3,1.5,"$482,000",https://www.acobir.com/proyectos/list/allure-at-punta-pacifica/
The Edge Marbella,8.9789744,-79.5197546,Residencial,Pre-Venta,Apartamentos,55m2,1,1,"$192,000",https://www.acobir.com/proyectos/list/the-edge-marbella-1/
Alexa Bella Vista,8.9720401,-79.5322177,Residencial,En Construcción,Apartamentos,40m2,1,1,"$97,100",https://www.acobir.com/proyectos/list/alexa-bella-vista-1/
Mi Condado,9.027435,-79.5233972,Residencial,En Construcción,Apartamentos,74m2,2,1.5,"$159,000",https://www.acobir.com/proyectos/list/mi-condado/
Torres de Castilla - Vía España,8.999227,-79.5172926,Residencial,Proyecto a Estrenar,Apartamentos,86m2,3,1.5,"$181,360",https://www.acobir.com/proyectos/list/torres-de-castilla-via-espana/
PH Sabana Tower,,,Residencial,Proyecto a Estrenar,Apartamentos,99.7m2,3,2,"$176,960",https://www.acobir.com/proyectos/list/ph-sabana-tower/
Torres de España,NA,NA,Residencial,Proyecto a Estrenar,Apartamentos,70.14m2,3,1.5,"$82,798",https://www.acobir.com/proyectos/list/torres-de-espana/
PH Demetra,,,Residencial,Proyecto a Estrenar,Apartamentos,72m2,2,2,"$165,000",https://www.acobir.com/proyectos/list/ph-demetra/
Prestige Bella Vista,8.9763157,-79.5290786,Residencial,Proyecto a Estrenar,Apartamentos,335m2,4,2.5,"$734,400",https://www.acobir.com/proyectos/list/prestige-bella-vista/
Mansión Baluarte,8.92035511848927,-79.66230309846986,Residencial,Pre-Venta,Apartamentos,52m2,1,1,"$240,000",https://www.acobir.com/proyectos/list/mansion-baluarte/
Santa Teresita Living,8.9537897,-79.5413914,Residencial,Pre-Venta,Apartamentos,45m2,1,1,"$128,000",https://www.acobir.com/proyectos/list/santa-teresita-living/
Casa Variedades,8.9533583,-79.538922,Residencial,Pre-Venta,Apartamentos,64m2,1,1.5,"$245,860",https://www.acobir.com/proyectos/list/casa-variedades/
Forest Gate en Albrook,8.987291599999999,-79.55980819999999,Residencial,En Construcción,Apartamentos,67m2,2,2,$174,https://www.acobir.com/proyectos/list/forest-gate-en-albrook/
Mei Tower en Villa de las Fuentes,9.0143805,-79.5339805,Residencial,Proyecto a Estrenar,Apartamentos,119m2,3,2,$299,https://www.acobir.com/proyectos/list/mei-tower-en-villa-de-las-fuentes/
Nostrum Obarrio,8.984480103246497,-79.5262025620442,Residencial,Pre-Venta,Apartamentos,47m2,2,2,"$128,675",https://www.acobir.com/proyectos/list/nostrum-obarrio/
MORE Vía Argentina,8.9877873,-79.5295436,Residencial,En Construcción,Apartamentos,42.31m2,2,2,"$131,741",https://www.acobir.com/proyectos/list/more-via-argentina/
PH AURORA,,,Residencial,Pre-Venta,Apartamentos,120m2,3,2,"$310,000",https://www.acobir.com/proyectos/list/ph-aurora/
BALCONY,,,Residencial,En Construcción,Apartamentos,76m2,2,2,"$198,000",https://www.acobir.com/proyectos/list/balcony/
ALTAMIRA RESIDENCES,,,Residencial,Proyecto a Estrenar,Apartamentos,107m2,3,2,"$260,000",https://www.acobir.com/proyectos/list/altamira-residences/
Clayton Park,9.004622,-79.56949,Residencial,Proyecto a Estrenar,Apartamentos,151.1m2,3,2,"$320,000",https://www.acobir.com/proyectos/list/clayton-park/
Torres de Cantabria,9.053004193504224,-79.42706968521321,Residencial,En Construcción,Apartamentos,69.15m2,2,2,"$123,000",https://www.acobir.com/proyectos/list/torres-de-cantabria/
NA,NA,NA,NA,,,,,,,https://www.acobir.com/proyectos/list/torres-de-versalles/
Van Gogh,8.984942,-79.530613,Residencial,Proyecto a Estrenar,Apartamentos,79m2,3,2,"$199,235",https://www.acobir.com/proyectos/list/van-gogh-1/
P.H. Bay View Ciudad Panamá,8.96020929253092,-79.54049058572384,Residencial,Proyecto a Estrenar,Apartamentos,80.16m2,2,1.5,"$195,400",https://www.acobir.com/proyectos/list/p.h-bay-view-ciudad-panama/
The Sands,8.961688292508377,-79.5390821857238,Residencial,En Construcción,Apartamentos,30m2,1,1,"$140,000",https://www.acobir.com/proyectos/list/the-sands/
The Gray,8.979039192242997,-79.52898288572376,Residencial,En Construcción,Apartamentos,43m2,1,1,"$120,000",https://www.acobir.com/proyectos/list/the-gray/
TORRE MONDRIAN,8.999128593541604,-79.51534168521351,Residencial,En Construcción,Apartamentos,79m2,2,2,"$155,000",https://www.acobir.com/proyectos/list/torre-mondrian/
PH TEN TOWER - COSTA DEL ESTE,9.0101796,-79.4692812,Residencial,Proyecto a Estrenar,Apartamentos,419m2,2,3.5,"$975,000",https://www.acobir.com/proyectos/list/ph-ten-tower-costa-del-este/
SERCOTEL PRINCESS,8.979995995442636,-79.52156945198007,Residencial,Proyecto a Estrenar,Apartamentos,40.02m2,1,1,"$160,000",https://www.acobir.com/proyectos/list/sercotel-princess/
Vivendi Green,8.99537049354421,-79.53309368521359,Residencial,Proyecto a Estrenar,Apartamentos,73m2,2,2,"$180,000",https://www.acobir.com/proyectos/list/vivendi-green/
Elite 500,9.003912093538304,-79.53795488521354,Residencial,Proyecto a Estrenar,Apartamentos,125.1m2,3,2,"$325,000",https://www.acobir.com/proyectos/list/elite-500/
El Mare 700,8.99474289354462,-79.53363758521361,Residencial,Proyecto a Estrenar,Apartamentos,87.44m2,2,1,"$206,100",https://www.acobir.com/proyectos/list/el-mare-700/
Ocean Front,8.974401102418668,-79.51260026475644,Residencial,Proyecto a Estrenar,Apartamentos,320.78m2,3,3.5,"$913,400",https://www.acobir.com/proyectos/list/ocean-front/
Pacific Park,8.9953722,-79.5319812,Residencial,Proyecto a Estrenar,Apartamentos,142m2,3,2.5,"$345,100",https://www.acobir.com/proyectos/list/pacific-park/
Deluxe Residences,8.972697199999999,-79.5163441,Residencial,Proyecto a Estrenar,Apartamentos,197.4m2,3,3.5,"$519,253",https://www.acobir.com/proyectos/list/deluxe-residences/
Luxor 400,8.987830493549453,-79.52933848521367,Residencial,En Construcción,Apartamentos,94m2,2,2,"$243,630",https://www.acobir.com/proyectos/list/luxor-400/
Costanera,8.976651193557181,-79.5305572852137,Residencial,En Construcción,Apartamentos,123m2,4,2,"$368,220",https://www.acobir.com/proyectos/list/costanera/
Zafiro Residences,9.1059247,-79.4842797,Residencial,Pre-Venta,Apartamentos,86m2,3,2,"$198,000",https://www.acobir.com/proyectos/list/zafiro-residences/
Panorama 360,9.1059247,-79.4842797,Residencial,Pre-Venta,Apartamentos,52m2,2,2,"$120,000",https://www.acobir.com/proyectos/list/panorama-360/
Greenwood Tower 100 y 200,9.03318679351797,-79.51602818521334,Residencial,En Construcción,Apartamentos,40m2,2,2,"$112,500",https://www.acobir.com/proyectos/list/greenwood-tower-100-y-200/
PH. Casco View,8.9530666,-79.5406791,Residencial,En Construcción,Apartamentos,45m2,1,1,"$130,000",https://www.acobir.com/proyectos/list/ph-casco-view/
Spotlight,9.032623135778975,-79.51572100328558,Residencial,Proyecto a Estrenar,Apartamentos,75m2,2,1.5,"$180,000",https://www.acobir.com/proyectos/list/spotlight/
Portofino Towers,9.0166342,-79.5334199,Residencial,Proyecto a Estrenar,Apartamentos,111.5m2,3,2,"$255,700",https://www.acobir.com/proyectos/list/portofino-towers/
Bonavista At The Park,9.0155943,-79.5343611,Residencial,Proyecto a Estrenar,Apartamentos,128m2,3,2,"$307,600",https://www.acobir.com/proyectos/list/bonavista-at-the-park/
Victoria Royale,9.0131245,-79.5125212,Residencial,Proyecto a Estrenar,Apartamentos,100m2,3,2,"$225,000",https://www.acobir.com/proyectos/list/victoria-royale-1/
Condado Country Club,9.035608593516297,-79.52916108521332,Residencial,Proyecto a Estrenar,Apartamentos,73m2,2,2,"$230,000",https://www.acobir.com/proyectos/list/condado-country-club/
Paramount,9.0110426,-79.4683063,Residencial,Proyecto a Estrenar,Apartamentos,313m2,3,3.5,"$950,000",https://www.acobir.com/proyectos/list/ph-paramount-1/
La Sierra,8.944501,-79.7416687,Residencial,En Construcción,Apartamentos,64m2,2,2,"$79,000",https://www.acobir.com/proyectos/list/la-sierra-1/
Portoalegre,9.0378525,-79.4848739,Residencial,Proyecto a Estrenar,Apartamentos,135m2,3,3,"$200,000",https://www.acobir.com/proyectos/list/portoalegre/
Hacienda Golf Torre 2,9.070330890837326,-79.4670267850652,Residencial,Pre-Venta,Apartamentos,55m2,1,2,"$120,000",https://www.acobir.com/proyectos/list/hacienda-golf-torre-2/
Hacienda Golf Torre 1,9.070330890837326,-79.4670267850652,Residencial,Proyecto a Estrenar,Apartamentos,77m2,2,2,"$170,000",https://www.acobir.com/proyectos/list/hacienda-golf-torre-1/
Aviñon,9.0327716,-79.5146204,Residencial,Proyecto a Estrenar,Apartamentos,77m2,3,2,"$152,000",https://www.acobir.com/proyectos/list/avinon/
