Name,Latitude,Longitude,Type,Status,Category,Size,Rooms,Bathrooms,Price,Info_url,image_url
Proyecto Sevilla,8.9394434,-79.6423486,Residencial,En Construcción,Apartamentos,90m2,2,1.5,"$120,000",https://www.acobir.com/proyectos/list/proyecto-sevilla/,https://www.acobir.com/site/assets/files/2023/12/05/6612/entrenucleos-11.600x450.jpg
Torres de España,0,0,Residencial,Proyecto a Estrenar,Apartamentos,"70,14m2",3,1.5,"$82,798",https://www.acobir.com/proyectos/list/torres-de-espana/,https://www.acobir.com/site/assets/files/2023/11/23/6591/te01-2.600x450.jpg
PH Demetra,,,Residencial,Proyecto a Estrenar,Apartamentos,72m2,2,2,"$165,000",https://www.acobir.com/proyectos/list/ph-demetra/,https://www.acobir.com/site/assets/files/2023/07/24/6315/ph_demetra_abr_2023-21.600x450.jpg
ALEXA,8.9851813,-79.5156066,Residencial,Pre-Venta,Apartamentos,"48,5m2",1,1,"$104,300",https://www.acobir.com/proyectos/list/alexa/,https://www.acobir.com/site/assets/files/2022/11/23/5784/alexa_pb.600x450.jpg
Torres de Castilla,8.999227,-79.5172926,Residencial,Proyecto a Estrenar,Apartamentos,86m2,2,2,"$179,900",https://www.acobir.com/proyectos/list/torres-de-castilla/,https://www.acobir.com/site/assets/files/2022/11/23/5772/torres_de_castilla_flyer_03_2022.600x450.jpg
P.H. Epoca,9.0080413,-79.5040305,Residencial,Proyecto a Estrenar,Apartamentos,55m2,3,2,"$130,100",https://www.acobir.com/proyectos/list/p.h-epoca/,https://www.acobir.com/site/assets/files/2022/11/22/5757/epoca_torre_web_acobir.600x450.jpg
Mansión Baluarte,8.92035511848927,-79.66230309846986,Residencial,Pre-Venta,Apartamentos,52m2,1,1,"$240,000",https://www.acobir.com/proyectos/list/mansion-baluarte/,https://www.acobir.com/site/assets/files/2022/09/26/5694/mansionbaluarterender5.600x450.jpg
Santa Teresita Living,8.9537897,-79.5413914,Residencial,Pre-Venta,Apartamentos,45m2,1,1,"$128,000",https://www.acobir.com/proyectos/list/santa-teresita-living/,https://www.acobir.com/site/assets/files/2022/09/26/5693/render_fachada_ajustada_final_low.600x450.jpg
Casa Variedades,8.9533583,-79.538922,Residencial,Pre-Venta,Apartamentos,64m2,1,1.5,"$245,860",https://www.acobir.com/proyectos/list/casa-variedades/,https://www.acobir.com/site/assets/files/2022/09/22/5690/render_interno_casa_variedades.600x450.jpg
Forest Gate,8.987291599999999,-79.55980819999999,Residencial,Pre-Venta,Apartamentos,67m2,2,2,"$165,000",https://www.acobir.com/proyectos/list/forest-gate/,https://www.acobir.com/site/assets/files/2022/09/06/5675/whatsapp_image_2022-09-06_at_2_05_40_pm_3.600x450.jpeg
Mi Condado Torre 200,9.0273538,-79.5255493,Residencial,En Construcción,Apartamentos,72m2,2,2,"$159,100",https://www.acobir.com/proyectos/list/mi-condado-torre-200/,https://www.acobir.com/site/assets/files/2022/09/06/5674/jcv4319.600x450.jpg
Ph Mei Tower,9.0143805,-79.5339805,Residencial,Proyecto a Estrenar,Apartamentos,119m2,3,2,"$299,000",https://www.acobir.com/proyectos/list/ph-mei-tower-2/,https://www.acobir.com/site/assets/files/2022/09/02/5668/foto_1_entrada.600x450.jpg
LESS Albrook,8.9736944,-79.5623056,Residencial,Pre-Venta,Apartamentos,"17,67m2",1,1,"$99,000",https://www.acobir.com/proyectos/list/less-albrook/,https://www.acobir.com/site/assets/files/2022/07/22/5591/imagenes_catalogo_lessalbrook-01.600x450.jpg
Indie Town,8.9544039,-79.8599043,Residencial,Pre-Venta,Apartamentos,20m2,1,1,"$55,000",https://www.acobir.com/proyectos/list/indie-town/,https://www.acobir.com/site/assets/files/2022/07/22/5590/fachada-indietown-01.600x450.jpg
Nostrum Obarrio,8.984480103246497,-79.5262025620442,Residencial,Pre-Venta,Apartamentos,47m2,2,2,"$128,675",https://www.acobir.com/proyectos/list/nostrum-obarrio/,https://www.acobir.com/site/assets/files/2022/05/17/5537/captura_de_pantalla_2022-05-17_a_la_s_1_00_06_p__m.600x450.jpg
MORE Vía Argentina,8.9877873,-79.5295436,Residencial,En Construcción,Apartamentos,"42,31m2",2,2,"$131,741",https://www.acobir.com/proyectos/list/more-via-argentina/,https://www.acobir.com/site/assets/files/2022/05/17/5536/fachada.600x450.jpg
PH AURORA,,,Residencial,Pre-Venta,Apartamentos,120m2,3,2,"$310,000",https://www.acobir.com/proyectos/list/ph-aurora/,https://www.acobir.com/site/assets/files/2022/05/16/5535/165_01_aurora_e_semiaerea.600x450.jpg
BALCONY,,,Residencial,En Construcción,Apartamentos,76m2,2,2,"$198,000",https://www.acobir.com/proyectos/list/balcony/,https://www.acobir.com/site/assets/files/2022/05/16/5534/165_03_balcony_peatonal-_1.600x450.jpg
ALTAMIRA RESIDENCES,,,Residencial,Proyecto a Estrenar,Apartamentos,107m2,3,2,"$260,000",https://www.acobir.com/proyectos/list/altamira-residences/,https://www.acobir.com/site/assets/files/2022/05/16/5533/imagen_2.600x450.jpg
Lefevre 75,9.016352293529657,-79.49771358521343,Residencial,Proyecto a Estrenar,Apartamentos,81m2,3,2,"$165,473",https://www.acobir.com/proyectos/list/lefevre-75/,https://www.acobir.com/site/assets/files/2022/02/08/5416/fachada.600x450.jpg
Clayton Park,9.004622,-79.56949,Residencial,Proyecto a Estrenar,Apartamentos,"151,1m2",3,2,"$338,420",https://www.acobir.com/proyectos/list/clayton-park/,https://www.acobir.com/site/assets/files/2021/10/20/5326/clayton_park_1.600x450.jpg
Reserva Santa Fe - Apartamentos,9.073773,-79.364798,Residencial,Proyecto a Estrenar,Apartamentos,"62,04m2",2,1,"$82,769",https://www.acobir.com/proyectos/list/reserva-santa-fe-apartamentos/,https://www.acobir.com/site/assets/files/2021/10/12/5319/a4a9576.600x450.jpg
Riviera del Golf,8.997735533351374,-79.49808207809542,Residencial,Proyecto a Estrenar,Apartamentos,"183,55m2",3,2,"$454,520",https://www.acobir.com/proyectos/list/riviera-del-golf/,https://www.acobir.com/site/assets/files/2021/10/11/5315/rtqlbytdsmls.600x450.jpg
